Code,Language,Family
sgx,Sierra Leone Sign Language,Sign language
sgy,Sanglechi,Indo-European
sgz,Sursurunga,Austronesian
sha,Shall-Zwall,Niger-Congo
shb,Ninam,Yanomaman
shc,Sonde,Niger-Congo
shd,Kundal Shahi,Indo-European
she,Sheko,Afro-Asiatic
shg,Shua,Khoe-Kwadi
shh,Shoshoni,Uto-Aztecan
shi,Tachelhit,Afro-Asiatic
shj,Shatt,Nilo-Saharan
shk,Shilluk,Nilo-Saharan
shl,Shendu,Sino-Tibetan
shm,Shahrudi,Indo-European
shn,Shan,Kra-Dai
sho,Shanga,Niger-Congo
shp,Shipibo-Conibo,Panoan
shq,Sala,Niger-Congo
shr,Shi,Niger-Congo
shs,Shuswap,Salish
sht,Shasta,Language isolate
shu,Chadian Spoken Arabic,Afro-Asiatic
shv,Shehri,Afro-Asiatic
shw,Shwai,Niger-Congo
shx,She,Hmong-Mien
shy,Tachawit,Afro-Asiatic
shz,"Sénoufo, Syenara",Niger-Congo
sia,"Saami, Akkala",Uralic
sib,Sebop,Austronesian
sid,Sidamo,Afro-Asiatic
sie,Simaa,Niger-Congo
sif,Siamou,Niger-Congo
sig,Paasaal,Niger-Congo
sih,Sîshëë,Austronesian
sii,Shom Peng,Austro-Asiatic
sij,Numbami,Austronesian
sik,Sikiana,Cariban
sil,Tumulung Sisaala,Niger-Congo
sim,Mende,Sepik
sin,Sinhala,Indo-European
sip,Sikkimese,Sino-Tibetan
siq,Sonia,Trans-New Guinea
sir,Siri,Afro-Asiatic
sis,Siuslaw,Language isolate
siu,Sinagen,Torricelli
siv,Sumariup,Sepik
siw,Motuna,South Bougainville
six,Sumau,Trans-New Guinea
siy,Sivandi,Indo-European
siz,Siwi,Afro-Asiatic
sja,Epena,Chocoan
sjb,Sajau Basap,Austronesian
sjd,Kildin Saami,Uralic
sje,Pite Saami,Uralic
sjg,Assangori,Nilo-Saharan
sjk,"Saami, Kemi",Uralic
sjl,Miji,Sino-Tibetan
sjm,Mapun,Austronesian
sjo,Xibe,Tungusic
sjp,Surjapuri,Indo-European
sjr,Siar-Lak,Austronesian
sjt,"Saami, Ter",Uralic
sju,Ume Saami,Uralic
sjw,Shawnee,Algic
ska,Skagit,Salish
skb,Saek,Kra-Dai
skc,Ma Manda,Trans-New Guinea
skd,"Miwok, Southern Sierra",Miwok-Costanoan
ske,Seke,Austronesian
skf,Sakirabiá,Tupian
skg,"Malagasy, Sakalava",Austronesian
skh,Sikule,Austronesian
ski,Sika,Austronesian
skj,Seke,Sino-Tibetan
skm,Kutong,Trans-New Guinea
skn,"Subanon, Kolibugan",Austronesian
sko,Seko Tengah,Austronesian
skp,Sekapan,Austronesian
skq,Sininkere,Niger-Congo
skr,Saraiki,Indo-European
sks,Maia,Trans-New Guinea
skt,Sakata,Niger-Congo
sku,Sakao,Austronesian
skv,Skou,Skou
skw,Skepi Dutch Creole,Creole
skx,Seko Padang,Austronesian
sky,Sikaiana,Austronesian
skz,Sekar,Austronesian
slc,Sáliba,Sálivan
sld,Sissala,Niger-Congo
sle,Sholaga,Dravidian
slf,Swiss-Italian Sign Language,Sign language
slg,"Murut, Selungai",Austronesian
slh,Southern Lushootseed,Salish
sli,"Silesian, Lower",Indo-European
slj,Salumá,Cariban
slk,Slovak,Indo-European
sll,Yui,Trans-New Guinea
slm,Pangutaran Sama,Austronesian
sln,Salinan,Language isolate
slp,Lamaholot,Austronesian
slr,Salar,Turkic
sls,Singapore Sign Language,Sign language
slt,Sila,Sino-Tibetan
slu,Selaru,Austronesian
slv,Slovene,Indo-European
slw,Sialum,Trans-New Guinea
slx,Salampasu,Niger-Congo
sly,Selayar,Austronesian
slz,Ma’ya,Austronesian
sma,South Saami,Uralic
smb,Simbari,Trans-New Guinea
smc,Tayatuk,Trans-New Guinea
sme,North Saami,Uralic
smf,Auwe,Border
smg,Simbali,East New Britain
smh,Samei,Sino-Tibetan
smj,Lule Saami,Uralic
smk,Bolinao,Austronesian
sml,Central Sama,Austronesian
smm,Musasa,Indo-European
smn,Inari Saami,Uralic
smo,Samoan,Austronesian
smp,Samaritan Hebrew,Afro-Asiatic
smq,Samo,Trans-New Guinea
smr,Simeulue,Austronesian
sms,Skolt Saami,Uralic
smt,Simte,Sino-Tibetan
smu,Somray,Austro-Asiatic
smv,Samvedi,Indo-European
smw,Sumbawa,Austronesian
smx,Samba,Niger-Congo
smy,Semnani,Indo-European
smz,Simeku,South Bougainville
sna,Shona,Niger-Congo
snc,Sinaugoro,Austronesian
snd,Sindhi,Indo-European
sne,"Bidayuh, Bau",Austronesian
snf,Noon,Niger-Congo
sng,Sanga,Niger-Congo
sni,Sensi,Panoan
snj,"Sango, Riverain",Creole
snk,Soninke,Niger-Congo
snl,Sangil,Austronesian
snm,Southern Ma’di,Nilo-Saharan
snn,Siona,Tucanoan
sno,Snohomish,Salish
snp,Siane,Trans-New Guinea
snq,Sangu,Niger-Congo
snr,Sihan,Gum
sns,Nahavaq,Austronesian
snu,Viid,Border
snv,Sa’ban,Austronesian
snw,Selee,Niger-Congo
snx,Sam,Trans-New Guinea
sny,Saniyo-Hiyewe,Sepik
snz,Kou,Trans-New Guinea
soa,Thai Song,Kra-Dai
sob,Sobei,Austronesian
soc,So,Niger-Congo
sod,Songoora,Niger-Congo
soe,Ohendo,Niger-Congo
soh,Aka,Nilo-Saharan
soi,Sonha,Indo-European
soj,Soi,Indo-European
sok,Sokoro,Afro-Asiatic
sol,Solos,Austronesian
som,Somali,Afro-Asiatic
soo,Songo,Niger-Congo
sop,Songe,Niger-Congo
soq,Kanasi,Trans-New Guinea
sor,Soumraye,Afro-Asiatic
sos,Seeku,Niger-Congo
sot,Southern Sotho,Niger-Congo
sou,Southern Thai,Kra-Dai
sov,Sonsorolese,Austronesian
sow,Sowanda,Border
sox,Swo,Niger-Congo
soy,Miyobe,Niger-Congo
soz,Temi,Niger-Congo
spa,Spanish,Indo-European
spb,Sepa,Austronesian
spc,Sapé,Language isolate
spd,Saep,Trans-New Guinea
spe,Sepa,Austronesian
spg,Sihan,Austronesian
spi,Saponi,Lakes Plain
spk,Sengo,Sepik
spl,Selepet,Trans-New Guinea
spm,Akukem,Ramu-Lower Sepik
spn,Sanapaná,Mascoyan
spo,Spokane,Salish
spp,Supyire Sénoufo,Niger-Congo
spq,"Spanish, Charapa",Indo-European
spr,Saparua,Austronesian
sps,Saposa,Austronesian
spt,Spiti Bhoti,Sino-Tibetan
spu,Sapuan,Austro-Asiatic
spv,Sambalpuri,Indo-European
spy,Sabaot,Nilo-Saharan
sqa,Shama-Sambuga,Niger-Congo
sqh,Shau,Niger-Congo
sqk,Albanian Sign Language,Sign language
sqm,Suma,Niger-Congo
sqn,Susquehannock,Iroquoian
sqo,Sorkhei,Indo-European
sqq,Sou,Austro-Asiatic
sqs,Sri Lankan Sign Language,Sign language
sqt,Soqotri,Afro-Asiatic
squ,Squamish,Salish
sqx,Kufr Qassem Sign Language,Sign language
srb,Sora,Austro-Asiatic
src,"Sardinian, Logudorese",Indo-European
sre,"Bakati’, Sara",Austronesian
srf,Nafi,Austronesian
srg,Sulod,Austronesian
srh,Sarikoli,Indo-European
sri,Siriano,Tucanoan
srk,"Murut, Serudung",Austronesian
srl,Isirawa,Tor-Kwerba
srm,Saramaccan,Creole
srn,Sranan Tongo,Creole
sro,"Sardinian, Campidanese",Indo-European
srp,Serbian,Indo-European
srq,Sirionó,Tupian
srr,Serer-Sine,Niger-Congo
srs,Sarsi,Eyak-Athabaskan
srt,Sauri,East Geelvink Bay
sru,Suruí,Tupian
srv,"Sorsoganon, Southern",Austronesian
srw,Serua,Austronesian
srx,Sirmauri,Indo-European
sry,Sera,Austronesian
srz,Shahmirzadi,Indo-European
ssb,Southern Sama,Austronesian
ssc,Suba-Simbiti,Niger-Congo
ssd,Siroi,Trans-New Guinea
sse,Balangingih Sama,Austronesian
ssf,Thao,Austronesian
ssg,Seimat,Austronesian
ssh,"Arabic, Shihhi Spoken",Afro-Asiatic
ssi,Sansi,Indo-European
ssj,Wia,Trans-New Guinea
ssk,Sunam,Sino-Tibetan
ssl,"Sisaala, Western",Niger-Congo
ssm,Semnam,Austro-Asiatic
ssn,Waata,Afro-Asiatic
sso,Essono,Austronesian
ssp,Spanish Sign Language,Sign language
ssq,So’a,Austronesian
ssr,Swiss-French Sign Language,Sign language
sss,So,Austro-Asiatic
sst,Sinasina,Trans-New Guinea
ssu,Susuami,Trans-New Guinea
ssv,Shark Bay,Austronesian
ssw,Swati,Niger-Congo
ssx,Samberigi,Trans-New Guinea
ssy,Saho,Afro-Asiatic
ssz,Sengseng,Austronesian
sta,Settla,Pidgin
stb,"Subanen, Northern",Austronesian
std,Sentinel,Andamanese
ste,Liana-Seti,Austronesian
stf,Seta,Torricelli
stg,Trieng,Austro-Asiatic
sth,Shelta,Mixed language
sti,Bulo Stieng,Austro-Asiatic
stj,"Samo, Matya",Niger-Congo
stk,Aramba,South-Central Papuan
stl,Stellingwerfs,Indo-European
stm,Setaman,Trans-New Guinea
stn,Owa,Austronesian
sto,Stoney,Siouan-Catawban
stp,Southeastern Tepehuan,Uto-Aztecan
stq,Saterfriesisch,Indo-European
str,Northern Straits Salish,Salish
sts,Shumashti,Indo-European
stt,"Stieng, Budeh",Austro-Asiatic
stu,Samtao,Austro-Asiatic
stv,Silt’e,Afro-Asiatic
stw,Satawalese,Austronesian
sty,Siberian Tatar,Turkic
sua,Sulka,Language isolate
sub,Suku,Niger-Congo
suc,Western Subanon,Austronesian
sue,Suena,Trans-New Guinea
sug,Suganga,Trans-New Guinea
sui,Suki,Trans-New Guinea
suj,Shubi,Niger-Congo
suk,Sukuma,Niger-Congo
sun,Sunda,Austronesian
suo,Bouni,Skou
suq,Tirmaga-Chai Suri,Nilo-Saharan
sur,Mwaghavul,Afro-Asiatic
sus,Susu,Niger-Congo
sut,Subtiaba,Otomanguean
suv,Puroik,Sino-Tibetan
suw,Sumbwa,Niger-Congo
suy,Suyá,Jean
suz,Sunwar,Sino-Tibetan
sva,Svan,Kartvelian
svb,Ulau-Suain,Austronesian
svc,Vincentian English Creole,Creole
sve,Serili,Austronesian
svk,Slovakian Sign Language,Sign language
svm,Slavomolisano,Indo-European
svs,Savosavo,Central Solomons
swb,Maore Comorian,Niger-Congo
swc,Congo Swahili,Niger-Congo
swe,Swedish,Indo-European
swf,Sere,Niger-Congo
swg,Swabian,Indo-European
swh,Swahili,Niger-Congo
swi,Sui,Kra-Dai
swj,Sira,Niger-Congo
swk,"Sena, Malawi",Niger-Congo
swl,Swedish Sign Language,Sign language
swn,Sawknah,Afro-Asiatic
swo,Shanenawa,Unclassified
swp,Suau,Austronesian
swq,Sharwa,Afro-Asiatic
swr,Saweru,West Papuan
sws,Seluwasan,Austronesian
swt,Sawila,Trans-New Guinea
swu,Suwawa,Austronesian
swv,Shekhawati,Indo-European
sww,Sowa,Austronesian
swx,Suruahá,Arauan
swy,Sarua,Afro-Asiatic
sxb,Suba,Niger-Congo
sxe,Sighu,Niger-Congo
sxg,Shuhi,Sino-Tibetan
sxk,Southern Kalapuya,Takelman
sxm,Samre,Austro-Asiatic
sxn,Sangir,Austronesian
sxr,Saaroa,Austronesian
sxs,Sasaru,Niger-Congo
sxu,Upper Saxon,Indo-European
sxw,Saxwe Gbe,Niger-Congo
sya,Siang,Austronesian
syb,Central Subanen,Austronesian
syc,Syriac,Afro-Asiatic
syi,Seki,Niger-Congo
syk,Sukur,Afro-Asiatic
syl,Sylheti,Indo-European
sym,"Samo, Maya",Niger-Congo
syn,Senaya,Afro-Asiatic
syo,Su’ung,Austro-Asiatic
sys,Sinyar,Nilo-Saharan
syw,Syuba,Sino-Tibetan
syx,Samay,Niger-Congo
syy,Al-Sayyid Bedouin Sign Language,Sign language
sza,Semelai,Austro-Asiatic
szb,Ngalum,Trans-New Guinea
szc,Semaq Beri,Austro-Asiatic
sze,Seze,Afro-Asiatic
szg,Sengele,Niger-Congo
szl,Silesian,Indo-European
szn,Sula,Austronesian
szp,Suabo,Trans-New Guinea
szs,Solomon Islands Sign Language,Sign language
szv,Isu,Niger-Congo
szw,Sawai,Austronesian
szy,Sakizaya,Austronesian
taa,Lower Tanana,Eyak-Athabaskan
tab,Tabasaran,Nakh-Daghestanian
tac,Western Tarahumara,Uto-Aztecan
tad,Tause,Lakes Plain
tae,Tariana,Maipurean
taf,Tapirapé,Tupian
tag,Tagoi,Niger-Congo
tah,Tahitian,Austronesian
taj,Eastern Tamang,Sino-Tibetan
tak,Tala,Afro-Asiatic
tal,Tal,Afro-Asiatic
tam,Tamil,Dravidian
tan,Tangale,Afro-Asiatic
tao,Yami,Austronesian
tap,Taabwa,Niger-Congo
taq,Tamasheq,Afro-Asiatic
tar,Central Tarahumara,Uto-Aztecan
tas,Tay Boi,Pidgin
tat,Tatar,Turkic
tau,Upper Tanana,Eyak-Athabaskan
tav,Tatuyo,Tucanoan
taw,Tay,Trans-New Guinea
tax,Tamki,Afro-Asiatic
tay,Atayal,Austronesian
taz,Tocho,Niger-Congo
tba,Aikanã,Language isolate
tbc,Takia,Austronesian
tbd,Kaki Ae,Trans-New Guinea
tbe,Tanibili,Austronesian
tbf,Mandara,Austronesian
tbg,North Tairora,Trans-New Guinea
tbh,Dharawal,Australian
tbi,Gaam,Nilo-Saharan
tbj,Tiang,Austronesian
tbk,Calamian Tagbanwa,Austronesian
tbl,Tboli,Austronesian
tbm,Tagbu,Niger-Congo
tbn,"Tunebo, Barro Negro",Chibchan
tbo,Tawala,Austronesian
tbp,Diebroud,Lakes Plain
tbr,Tumtum,Nilo-Saharan
tbs,Tanguat,Ramu-Lower Sepik
tbt,Tembo,Niger-Congo
tbu,Tubar,Uto-Aztecan
tbv,Tobo,Trans-New Guinea
tbw,Tagbanwa,Austronesian
tbx,Kapin,Austronesian
tby,Tabaru,West Papuan
tbz,Ditammari,Niger-Congo
tca,Ticuna,Language isolate
tcb,Tanacross,Eyak-Athabaskan
tcc,Datooga,Nilo-Saharan
tcd,Tafi,Niger-Congo
tce,"Tutchone, Southern",Eyak-Athabaskan
tcf,Malinaltepec Me’phaa,Otomanguean
tcg,Tamagario,Trans-New Guinea
tch,Turks and Caicos English Creole,Creole
tci,Wára,South-Central Papuan
tck,Tchitchege,Niger-Congo
tcl,Taman,Sino-Tibetan
tcm,Tanahmerah,Trans-New Guinea
tcn,Tichurong,Sino-Tibetan
tco,Taungyo,Sino-Tibetan
tcp,"Chin, Tawr",Sino-Tibetan
tcq,Kaiy,Lakes Plain
tcs,Torres Strait Creole,Creole
tct,T’en,Kra-Dai
tcu,"Tarahumara, Southeastern",Uto-Aztecan
tcw,Tecpatlán Totonac,Totonacan
tcx,Toda,Dravidian
tcy,Tulu,Dravidian
tcz,Thado Chin,Sino-Tibetan
tda,Tagdal,Mixed language
tdb,Panchpargania,Indo-European
tdc,Embera Tadó,Chocoan
tdd,Tai Nüa,Kra-Dai
tde,"Dogon, Tiranige Diga",Niger-Congo
tdf,Talieng,Austro-Asiatic
tdh,Thulung,Sino-Tibetan
tdi,Tomadino,Austronesian
tdj,Tajio,Austronesian
tdk,Rom,Afro-Asiatic
tdl,Kusur-Myet,Niger-Congo
tdm,Taruma,Language isolate
tdn,Tondano,Austronesian
tdo,Teme,Niger-Congo
tdq,Tita,Niger-Congo
tdr,Todrah,Austro-Asiatic
tds,Doutai,Lakes Plain
tdt,Tetun Dili,Creole
tdv,Atoro,Niger-Congo
tdx,Tandroy-Mahafaly Malagasy,Austronesian
tdy,Tadyawan,Austronesian
tea,Temiar,Austro-Asiatic
teb,Tetete,Tucanoan
tec,Terik,Nilo-Saharan
ted,Tepo Krumen,Niger-Congo
tee,Huehuetla Tepehua,Totonacan
tef,Teressa,Austro-Asiatic
teg,Teke-Tege,Niger-Congo
teh,Tehuelche,Chon
tei,Aro,Torricelli
tek,"Teke, Ibali",Niger-Congo
tel,Telugu,Dravidian
tem,Themne,Niger-Congo
ten,Tama,Tucanoan
teo,Ateso,Nilo-Saharan
tep,Tepecano,Uto-Aztecan
teq,Temein,Nilo-Saharan
ter,Terêna,Maipurean
tes,Tengger,Austronesian
tet,Tetun,Austronesian
teu,Soo,Nilo-Saharan
tev,Teor,Austronesian
tew,Tewa,Kiowa-Tanoan
tex,Tennet,Nilo-Saharan
tey,Tulishi,Nilo-Saharan
tez,Tetserret,Afro-Asiatic
tfi,"Gbe, Tofin",Niger-Congo
tfn,Tanaina,Eyak-Athabaskan
tfo,Tefaro,East Geelvink Bay
tfr,Teribe,Chibchan
tft,Ternate,West Papuan
tga,Sagalla,Niger-Congo
tgb,Tobilung,Austronesian
tgc,Tigak,Austronesian
tgd,Ciwogai,Afro-Asiatic
tge,"Tamang, Eastern Gorkha",Sino-Tibetan
tgf,Chalikha,Sino-Tibetan
tgh,Tobagonian English Creole,Creole
tgi,Lawunuia,Austronesian
tgj,Tagin,Sino-Tibetan
tgk,Tajik,Indo-European
tgl,Tagalog,Austronesian
tgn,Tandaganon,Austronesian
tgo,Sudest,Austronesian
tgp,Tangoa,Austronesian
tgq,Tring,Austronesian
tgr,Tareng,Austro-Asiatic
tgs,Nume,Austronesian
tgt,"Tagbanwa, Central",Austronesian
tgu,Tanggu,Ramu-Lower Sepik
tgv,Tingui-Boto,Unclassified
tgw,"Sénoufo, Tagwana",Niger-Congo
tgx,Tagish,Eyak-Athabaskan
tgy,Togoyo,Niger-Congo
tha,Thai,Kra-Dai
thd,Kuuk Thayorre,Australian
the,"Tharu, Central",Indo-European
thf,Thangmi,Sino-Tibetan
thh,"Tarahumara, Northern",Uto-Aztecan
thi,Tai Long,Kra-Dai
thk,Kitharaka,Niger-Congo
thl,Dangaura Tharu,Indo-European
thm,Aheu,Austro-Asiatic
thn,Thachanadan,Dravidian
thp,Thompson,Salish
thq,Mid-Eastern Tharu,Indo-European
thr,Rana Tharu,Indo-European
ths,Thakali,Sino-Tibetan
tht,Tahltan,Eyak-Athabaskan
thu,Thuri,Nilo-Saharan
thv,Tahaggart Tamahaq,Afro-Asiatic
thy,Tha,Niger-Congo
thz,Tayart Tamajeq,Afro-Asiatic
tia,"Tamazight, Tidikelt",Afro-Asiatic
tic,Tira,Niger-Congo
tif,Tifal,Trans-New Guinea
tig,Tigré,Afro-Asiatic
tih,Timugon Murut,Austronesian
tii,Tiene,Niger-Congo
tij,Tilung,Sino-Tibetan
tik,Tikar,Niger-Congo
til,Tillamook,Salish
tim,Timbe,Trans-New Guinea
tin,Tindi,Nakh-Daghestanian
tio,Teop,Austronesian
tip,Trimuris,Tor-Kwerba
tiq,Tiéfo,Niger-Congo
tir,Tigrigna,Afro-Asiatic
tis,"Itneg, Masadiit",Austronesian
tit,Tinigua,Tiniguan
tiu,Adasen,Austronesian
tiv,Tiv,Niger-Congo
tiw,Tiwi,Australian
tix,"Tiwa, Southern",Kiowa-Tanoan
tiy,Teduray,Austronesian
tiz,Tai Hongjin,Kra-Dai
tja,Tajuasohn,Niger-Congo
tjg,Tunjung,Austronesian
tji,"Tujia, Northern",Sino-Tibetan
tjj,Tjungundji,Australian
tjl,Tai Laing,Kra-Dai
tjm,Timucua,Language isolate
tjn,Tonjon,Niger-Congo
tjo,"Tamazight, Temacine",Afro-Asiatic
tjp,Tjupany,Australian
tjs,"Tujia, Southern",Sino-Tibetan
tju,Tjurruru,Australian
tka,Truká,Unclassified
tkb,Buksa,Indo-European
tkd,Tukudede,Austronesian
tke,Takwane,Niger-Congo
tkf,Tukumanféd,Tupian
tkg,Tesaka Malagasy,Austronesian
tkl,Tokelauan,Austronesian
tkm,Takelma,Unclassified
tkn,Toku-No-Shima,Japonic
tkp,Tikopia,Austronesian
tkq,Tèẹ̀ ̣,Niger-Congo
tkr,Tsakhur,Nakh-Daghestanian
tks,Takestani,Indo-European
tkt,Kathariya Tharu,Indo-European
tku,Upper Necaxa Totonac,Totonacan
tkv,Mur Pano,Austronesian
tkw,Teanu,Austronesian
tkx,Tangko,Trans-New Guinea
tkz,Takua,Austro-Asiatic
tla,"Tepehuan, Southwestern",Uto-Aztecan
tlb,Tobelo,West Papuan
tlc,"Totonac, Yecuatla",Totonacan
tld,Talaud,Austronesian
tlf,Telefol,Trans-New Guinea
tlg,Tofanma,Unclassified
tli,Tlingit,Eyak-Athabaskan
tlj,Talinga-Bwisi,Niger-Congo
tlk,Taloki,Austronesian
tll,Tetela,Niger-Congo
tlm,Tolomako,Austronesian
tln,Talondo’,Austronesian
tlo,Talodi,Niger-Congo
tlp,"Totonac, Filomena Mata-Coahuitlán",Totonacan
tlq,Tai Loi,Austro-Asiatic
tlr,Talise,Austronesian
tls,Tambotalo,Austronesian
tlt,Sou Nama,Austronesian
tlu,Tulehu,Austronesian
tlv,Taliabu,Austronesian
tlx,Khehek,Austronesian
tly,Talysh,Indo-European
tma,Tama,Nilo-Saharan
tmb,Avava,Austronesian
tmc,Tumak,Afro-Asiatic
tmd,Haruai,Piawi
tme,Tremembé,Unclassified
tmf,Toba-Maskoy,Mascoyan
tmg,Ternateño,Creole
tmi,Tutuba,Austronesian
tmj,Samarokena,Tor-Kwerba
tml,"Citak, Tamnim",Trans-New Guinea
tmm,Tai Thanh,Kra-Dai
tmn,Taman,Austronesian
tmo,Temoq,Austro-Asiatic
tmq,Tumleo,Austronesian
tmr,Jewish Babylonian Aramaic,Afro-Asiatic
tms,Tima,Niger-Congo
tmt,Tasmate,Austronesian
tmu,Iau,Lakes Plain
tmv,Tembo,Niger-Congo
tmw,Temuan,Austronesian
tmy,Tami,Austronesian
tmz,Tamanaku,Cariban
tna,Tacana,Tacanan
tnb,"Tunebo, Western",Chibchan
tnc,Tanimuca-Letuama,Tucanoan
tnd,"Tunebo, Angosturas",Chibchan
tng,Tobanga,Afro-Asiatic
tnh,Maiani,Trans-New Guinea
tni,Tandia,Austronesian
tnk,Kwamera,Austronesian
tnl,Lenakel,Austronesian
tnm,Tabla,East Bird’s Head-Sentani
tnn,North Tanna,Austronesian
tno,Toromono,Tacanan
tnp,Whitesands,Austronesian
tnq,Taíno,Maipurean
tnr,Ménik,Niger-Congo
tns,Tenis,Austronesian
tnt,Tontemboan,Austronesian
tnu,Tai Khang,Kra-Dai
tnv,Tangchangya,Indo-European
tnw,Tonsawang,Austronesian
tnx,Tanema,Austronesian
tny,Tongwe,Niger-Congo
tnz,Ten’edn,Austro-Asiatic
tob,Toba,Guaykuruan
toc,Coyutla Totonac,Totonacan
tod,Toma,Niger-Congo
tof,Gizrra,Eastern Trans-Fly
tog,Tonga,Niger-Congo
toh,Tonga,Niger-Congo
toi,Tonga,Niger-Congo
toj,Tojolabal,Mayan
tol,Tolowa,Eyak-Athabaskan
tom,Tombulu,Austronesian
ton,Tongan,Austronesian
too,Xicotepec de Juárez Totonac,Totonacan
top,Papantla Totonac,Totonacan
toq,Toposa,Nilo-Saharan
tor,"Banda, Togbo-Vara",Niger-Congo
tos,Highland Totonac,Totonacan
tou,Tho,Austro-Asiatic
tov,"Taromi, Upper",Indo-European
tow,Jemez,Kiowa-Tanoan
tox,Tobian,Austronesian
toy,Topoiyo,Austronesian
toz,To,Niger-Congo
tpa,Taupota,Austronesian
tpc,Azoyú Me’phaa,Otomanguean
tpe,Tippera,Sino-Tibetan
tpf,Tarpia,Austronesian
tpg,Kula,Trans-New Guinea
tpi,Tok Pisin,Creole
tpj,Ñandeva,Tupian
tpk,Tupinikin,Tupian
tpl,Tlacoapa Me’phaa,Otomanguean
tpm,Tampulma,Niger-Congo
tpn,Tupinambá,Tupian
tpo,Tai Pao,Kra-Dai
tpp,Pisaflores Tepehua,Totonacan
tpq,"Kinnauri, Chhoyul",Sino-Tibetan
tpr,Tuparí,Tupian
tpt,Tlachichilco Tepehua,Totonacan
tpu,Tampuan,Austro-Asiatic
tpv,Tanapag,Austronesian
tpx,Acatepec Me’phaa,Otomanguean
tpy,Trumai,Language isolate
tpz,Tinputz,Austronesian
tqb,Tembé,Tupian
tql,Lehali,Austronesian
tqm,Turumsa,Trans-New Guinea
tqn,Tenino,Sahaptian
tqo,Toaripi,Trans-New Guinea
tqp,Tomoip,Austronesian
tqq,Tunni,Afro-Asiatic
tqr,Torona,Niger-Congo
tqt,Totonaco del cerro Xinolatépetl,Totonacan
tqu,Touo,Central Solomons
tqw,Tonkawa,Language isolate
tra,Tirahi,Indo-European
trb,Terebu,Austronesian
trc,Copala Triqui,Otomanguean
trd,Turi,Austro-Asiatic
tre,"Tarangan, East",Austronesian
trf,Trinidadian English Creole,Creole
trg,Lishán Noshan,Afro-Asiatic
trh,Turaka,Trans-New Guinea
tri,Trió,Cariban
trj,Toram,Afro-Asiatic
trl,Traveller Scottish,Unclassified
trm,Tregami,Indo-European
trn,Trinitario,Maipurean
tro,"Naga, Tarao",Sino-Tibetan
trp,Kok Borok,Sino-Tibetan
trq,San Martín Itunyoso Triqui,Otomanguean
trr,Taushiro,Language isolate
trs,Chicahuaxtla Triqui,Otomanguean
trt,Tunggare,East Geelvink Bay
tru,Turoyo,Afro-Asiatic
trv,Sediq,Austronesian
trw,Torwali,Indo-European
trx,"Bidayuh, Tringgus-Sembaan",Austronesian
try,Turung,Sino-Tibetan
trz,Torá,Chapacuran
tsa,Tsaangi,Niger-Congo
tsb,Tsamai,Afro-Asiatic
tsc,Tswa,Niger-Congo
tsd,Tsakonian,Indo-European
tse,Tunisian Sign Language,Sign language
tsg,Tausug,Austronesian
tsh,Tsuvan,Afro-Asiatic
tsi,Tsimshian,Tsimshian
tsk,Tseku,Sino-Tibetan
tsl,Ts’ün-Lao,Kra-Dai
tsm,Turkish Sign Language,Sign language
tsn,Setswana,Niger-Congo
tso,Tsonga,Niger-Congo
tsp,"Toussian, Northern",Niger-Congo
tsq,Thai Sign Language,Sign language
tsr,Akei,Austronesian
tss,Taiwan Sign Language,Sign language
tst,Tondi Songway Kiini,Nilo-Saharan
tsu,Tsou,Austronesian
tsv,Tsogo,Niger-Congo
tsw,Tsishingini,Niger-Congo
tsx,Mubami,Trans-New Guinea
tsy,Tebul Sign Language,Sign language
tsz,Purepecha,Tarascan
tta,Tutelo,Siouan-Catawban
ttb,Gaa,Niger-Congo
ttc,Tektiteko,Mayan
ttd,Tauade,Trans-New Guinea
tte,Bwanabwana,Austronesian
ttf,Tuotomb,Niger-Congo
ttg,Tutong,Austronesian
tth,Upper Ta’oih,Austro-Asiatic
tti,Tobati,Austronesian
ttj,Tooro,Niger-Congo
ttk,Totoro,Paezan
ttl,Totela,Niger-Congo
ttm,"Tutchone, Northern",Eyak-Athabaskan
ttn,Towei,Pauwasi
tto,"Ta’oih, Lower",Austro-Asiatic
ttp,Tombelala,Austronesian
ttq,Tawallammat Tamajaq,Afro-Asiatic
tts,Northeastern Thai,Kra-Dai
ttt,"Tat, Muslim",Indo-European
ttu,Torau,Austronesian
ttv,Titan,Austronesian
ttw,Long Wat,Austronesian
tty,Sikaritai,Lakes Plain
ttz,Tsum,Sino-Tibetan
tua,Wiarumus,Torricelli
tub,Tübatulabal,Uto-Aztecan
tuc,Mutu,Austronesian
tud,Tuxá,Language isolate
tue,Tuyuca,Tucanoan
tuf,Central Tunebo,Chibchan
tug,Tunia,Niger-Congo
tuh,Tulil,East New Britain
tui,Tupuri,Niger-Congo
tuj,Tugutil,West Papuan
tuk,Turkmen,Turkic
tul,Tula,Niger-Congo
tum,Tumbuka,Niger-Congo
tun,Tunica,Language isolate
tuo,Tucano,Tucanoan
tuq,Tedaga,Nilo-Saharan
tur,Turkish,Turkic
tus,Tuscarora,Iroquoian
tuu,Tututni,Eyak-Athabaskan
tuv,Turkana,Nilo-Saharan
tux,Tuxináwa,Panoan
tuy,Tugen,Nilo-Saharan
tuz,Turka,Niger-Congo
tva,Vaghua,Austronesian
tvd,Tsuvadi,Niger-Congo
tve,Te’un,Austronesian
